HGNC symbol;MODE;median (nearest phylostratum)
MIR1185-2;#N/A;17
MIR1193;#N/A;19.1
MIR1197;#N/A;19.2
MIR1199;#N/A;19.2
MIR1-1HG;19.2;19.2
MIR1202;#N/A;19.2
MIR1204;#N/A;19.1
MIR1205;#N/A;19.2
MIR1207;#N/A;19.2
MIR1208;#N/A;19.2
MIR122;#N/A;12
MIR1224;#N/A;17
MIR1225;#N/A;17
MIR1226;#N/A;19.2
MIR1227;#N/A;19.2
MIR1228;#N/A;19.2
MIR1231;#N/A;19.2
MIR1236;#N/A;19.2
MIR1237;#N/A;19.2
MIR124-2;#N/A;10
MIR124-3;#N/A;10
MIR1247;#N/A;19.2
MIR1248;#N/A;19.2
MIR1249;#N/A;17
MIR1250;#N/A;19.2
MIR1251;#N/A;15.2
MIR1253;#N/A;19.2
MIR1255A;#N/A;19.2
MIR1258;#N/A;19.2
MIR125A;#N/A;12
MIR125B1;#N/A;12
MIR125B2;#N/A;12
MIR126;#N/A;11
MIR1260B;#N/A;19.1
MIR1262;#N/A;19.2
MIR1265;#N/A;19.2
MIR1266;#N/A;19.2
MIR127;#N/A;17
MIR1273C;#N/A;19.2
MIR1273D;#N/A;19.2
MIR1273H;#N/A;19.2
MIR1275;#N/A;19.2
MIR1276;#N/A;19.2
MIR128-1;#N/A;12
MIR1282;#N/A;17
MIR128-2;#N/A;12
MIR1283-1;#N/A;19.2
MIR1283-2;#N/A;19.2
MIR1285-1;#N/A;19.2
MIR1286;#N/A;19.2
MIR1288;#N/A;19.1
MIR1291;#N/A;19.2
MIR129-1;#N/A;12
MIR129-2;12;12
MIR1296;#N/A;17
MIR1298;#N/A;19.2
MIR1302-2HG;#N/A;17
MIR1302-3;#N/A;17
MIR1302-4;#N/A;19.2
MIR1302-5;#N/A;17
MIR1302-6;#N/A;17
MIR1302-7;#N/A;17
MIR1302-8;#N/A;17
MIR130A;#N/A;12
MIR132;12;12
MIR1323;#N/A;19.2
MIR133B;#N/A;10
MIR134;#N/A;17
MIR135A1;#N/A;12
MIR135A2;#N/A;12
MIR135B;#N/A;12
MIR136;#N/A;17
MIR138-1;#N/A;12
MIR138-2;#N/A;12
MIR139;12;12
MIR140;12;12
MIR141;#N/A;10
MIR142;#N/A;12
MIR144;#N/A;12
MIR1469;#N/A;19.1
MIR146A;#N/A;12
MIR146B;#N/A;12
MIR1470;#N/A;19.2
MIR147A;#N/A;14
MIR148A;#N/A;12
MIR148B;#N/A;12
MIR149;#N/A;17
MIR150;12;12
MIR151A;#N/A;15.1
MIR151B;#N/A;15.1
MIR152;12;12
MIR153-1;#N/A;10
MIR153-2;#N/A;10
MIR154;#N/A;17
MIR155HG;#N/A;10
MIR1587;#N/A;19.2
MIR15A;#N/A;12
MIR15B;#N/A;12
MIR16-1;12;12
MIR16-2;#N/A;12
MIR181A1;#N/A;12
MIR181A2;#N/A;12
MIR181B1;#N/A;12
