HGNC symbol;MODE;median (nearest phylostratum)
RN7SKP22;#N/A;18
RN7SKP220;#N/A;16
RN7SKP221;#N/A;18
RN7SKP222;#N/A;17
RN7SKP223;#N/A;18
RN7SKP224;#N/A;15.1
RN7SKP225;#N/A;18
RN7SKP226;#N/A;16
RN7SKP227;#N/A;15.1
RN7SKP228;#N/A;17
RN7SKP229;#N/A;18
RN7SKP230;#N/A;18
RN7SKP231;#N/A;19.1
RN7SKP232;#N/A;17
RN7SKP233;#N/A;14
RN7SKP234;#N/A;16
RN7SKP235;#N/A;17
RN7SKP236;#N/A;19.1
RN7SKP237;#N/A;17
RN7SKP238;#N/A;18
RN7SKP239;#N/A;16
RN7SKP24;#N/A;13
RN7SKP240;#N/A;18
RN7SKP241;#N/A;14
RN7SKP242;#N/A;17
RN7SKP243;#N/A;15.1
RN7SKP244;#N/A;16
RN7SKP245;#N/A;19.1
RN7SKP246;#N/A;17
RN7SKP247;#N/A;18
RN7SKP248;#N/A;15.1
RN7SKP249;#N/A;16
RN7SKP25;#N/A;15.1
RN7SKP250;#N/A;17
RN7SKP251;#N/A;17
RN7SKP252;#N/A;15.1
RN7SKP253;#N/A;15.1
RN7SKP254;#N/A;12
RN7SKP255;#N/A;16
RN7SKP256;#N/A;12
RN7SKP257;#N/A;18
RN7SKP258;#N/A;14
RN7SKP259;#N/A;17
RN7SKP26;#N/A;19.2
RN7SKP260;#N/A;15.1
RN7SKP261;#N/A;18
RN7SKP262;#N/A;14
RN7SKP263;#N/A;19.2
RN7SKP264;#N/A;12
RN7SKP265;#N/A;12
RN7SKP266;#N/A;16
RN7SKP267;#N/A;12
RN7SKP268;#N/A;14
RN7SKP269;#N/A;14
RN7SKP27;#N/A;14
RN7SKP270;#N/A;16
RN7SKP271;#N/A;16
RN7SKP272;#N/A;15.1
RN7SKP273;#N/A;18
RN7SKP275;#N/A;18
RN7SKP276;#N/A;16
RN7SKP277;#N/A;15.1
RN7SKP278;#N/A;17
RN7SKP279;#N/A;17
RN7SKP28;#N/A;17
RN7SKP280;#N/A;17
RN7SKP281;#N/A;18
RN7SKP282;#N/A;18
RN7SKP283;#N/A;12
RN7SKP284;#N/A;15.1
RN7SKP285;#N/A;16
RN7SKP286;#N/A;16
RN7SKP287;#N/A;17
RN7SKP288;#N/A;14
RN7SKP289;#N/A;16
RN7SKP29;#N/A;15.2
RN7SKP290;#N/A;13
RN7SKP291;#N/A;18
RN7SKP292;#N/A;15.1
RN7SKP293;#N/A;12
RN7SKP294;#N/A;18
RN7SKP295;#N/A;15.1
RN7SKP296;#N/A;18
RN7SKP297;#N/A;15.1
RN7SKP298;#N/A;15.1
RN7SKP299;#N/A;14
RN7SKP3;#N/A;19.2
RN7SKP30;#N/A;16
RN7SKP31;#N/A;19.1
RN7SKP32;#N/A;16
RN7SKP33;#N/A;18
RN7SKP34;#N/A;15.1
RN7SKP35;#N/A;14
RN7SKP36;#N/A;16
RN7SKP37;#N/A;19.2
RN7SKP38;#N/A;16
RN7SKP39;#N/A;13
RN7SKP4;#N/A;15.1
RN7SKP40;#N/A;14
RN7SKP42;#N/A;16
RN7SKP43;#N/A;15.1
RN7SKP44;#N/A;15.1
RN7SKP45;#N/A;17
RN7SKP46;#N/A;15.1
RN7SKP47;#N/A;18
RN7SKP48;#N/A;13
RN7SKP49;#N/A;14
RN7SKP5;#N/A;15.1
RN7SKP50;#N/A;15.1
RN7SKP51;#N/A;14
RN7SKP52;#N/A;12
RN7SKP53;#N/A;17
RN7SKP54;#N/A;16
RN7SKP55;#N/A;15.1
RN7SKP56;#N/A;11
RN7SKP57;#N/A;14
RN7SKP58;#N/A;15.1
RN7SKP59;#N/A;15.1
RN7SKP6;#N/A;18
RN7SKP60;#N/A;18
RN7SKP61;#N/A;18
RN7SKP62;#N/A;13
RN7SKP63;#N/A;18
RN7SKP64;#N/A;15.1
RN7SKP65;#N/A;18
RN7SKP66;#N/A;14
RN7SKP67;#N/A;14
RN7SKP68;#N/A;18
RN7SKP69;#N/A;19.1
RN7SKP7;#N/A;16
RN7SKP70;#N/A;16
RN7SKP71;#N/A;14
RN7SKP72;#N/A;18
RN7SKP73;#N/A;16
RN7SKP74;#N/A;19.2
RN7SKP75;#N/A;19.2
RN7SKP76;#N/A;12
RN7SKP77;#N/A;17
RN7SKP78;#N/A;18
RN7SKP79;#N/A;16
RN7SKP8;#N/A;19.1
RN7SKP80;#N/A;13
RN7SKP81;#N/A;17
RN7SKP82;#N/A;16
RN7SKP83;#N/A;12
RN7SKP85;#N/A;17
RN7SKP86;#N/A;17
RN7SKP87;#N/A;14
RN7SKP88;#N/A;15.1
RN7SKP89;#N/A;14
RN7SKP9;#N/A;16
RN7SKP90;#N/A;15.1
RN7SKP91;#N/A;16
RN7SKP92;#N/A;15.1
RN7SKP93;#N/A;19.1
RN7SKP94;#N/A;16
RN7SKP95;#N/A;16
RN7SKP96;#N/A;16
RN7SKP97;#N/A;17
RN7SKP98;#N/A;18
RN7SKP99;#N/A;13
RN7SL1;#N/A;15.1
RN7SL100P;#N/A;19.2
RN7SL101P;#N/A;19.1
RN7SL104P;#N/A;19.2
RN7SL105P;#N/A;19.1
RN7SL106P;#N/A;17
RN7SL107P;#N/A;19.2
RN7SL108P;#N/A;19.2
RN7SL110P;#N/A;19.2
RN7SL111P;#N/A;18
RN7SL113P;#N/A;19.1
RN7SL116P;#N/A;19.2
RN7SL117P;#N/A;19.2
RN7SL118P;#N/A;19.2
RN7SL11P;#N/A;19.2
RN7SL120P;#N/A;16
RN7SL121P;#N/A;19.2
RN7SL122P;#N/A;19.2
RN7SL123P;#N/A;19.2
RN7SL124P;#N/A;19.2
RN7SL125P;#N/A;17
RN7SL126P;#N/A;19.1
RN7SL127P;#N/A;19.2
RN7SL128P;#N/A;17
RN7SL12P;#N/A;19.2
RN7SL130P;#N/A;19.2
RN7SL131P;#N/A;19.2
RN7SL132P;#N/A;19.2
RN7SL134P;#N/A;19.2
RN7SL135P;#N/A;19.2
RN7SL138P;#N/A;19.2
RN7SL140P;#N/A;18
RN7SL141P;#N/A;19.2
RN7SL143P;#N/A;19.2
RN7SL144P;#N/A;15.1
RN7SL145P;#N/A;19.2
RN7SL146P;#N/A;19.2
RN7SL147P;#N/A;19.2
RN7SL148P;#N/A;19.2
RN7SL149P;#N/A;19.2
RN7SL14P;#N/A;18
RN7SL150P;#N/A;18
RN7SL151P;#N/A;19.1
RN7SL152P;#N/A;18
RN7SL153P;#N/A;16
RN7SL154P;#N/A;19.2
RN7SL155P;#N/A;19.2
RN7SL156P;#N/A;19.1
RN7SL159P;#N/A;19.2
RN7SL15P;#N/A;19.2
RN7SL160P;#N/A;19.2
RN7SL162P;#N/A;19.2
RN7SL163P;#N/A;19.2
RN7SL164P;#N/A;19.2
RN7SL165P;#N/A;19.2
RN7SL166P;#N/A;19.1
RN7SL167P;#N/A;19.2
RN7SL168P;#N/A;19.2
RN7SL169P;#N/A;16
RN7SL16P;#N/A;16
RN7SL170P;#N/A;19.2
RN7SL172P;#N/A;19.2
RN7SL173P;#N/A;19.2
RN7SL174P;#N/A;18
RN7SL176P;#N/A;18
RN7SL177P;#N/A;19.2
RN7SL178P;#N/A;19.2
RN7SL180P;#N/A;19.2
RN7SL181P;#N/A;19.2
RN7SL182P;#N/A;19.2
RN7SL183P;#N/A;19.2
RN7SL184P;#N/A;19.2
RN7SL185P;#N/A;17
RN7SL186P;#N/A;17
RN7SL187P;#N/A;19.2
RN7SL188P;#N/A;17
RN7SL189P;#N/A;19.2
RN7SL18P;#N/A;18
RN7SL190P;#N/A;19.2
RN7SL191P;#N/A;19.2
RN7SL192P;#N/A;19.1
RN7SL193P;#N/A;19.2
RN7SL196P;#N/A;17
RN7SL197P;#N/A;19.1
RN7SL198P;#N/A;19.2
RN7SL199P;#N/A;19.2
RN7SL19P;#N/A;19.2
RN7SL2;#N/A;18
RN7SL200P;#N/A;18
RN7SL201P;#N/A;19.1
RN7SL203P;#N/A;19.1
RN7SL204P;#N/A;19.2
RN7SL205P;#N/A;19.2
RN7SL208P;#N/A;19.2
RN7SL209P;#N/A;18
RN7SL20P;#N/A;19.2
RN7SL210P;#N/A;19.1
RN7SL211P;#N/A;19.2
RN7SL213P;#N/A;19.2
RN7SL214P;#N/A;18
RN7SL215P;#N/A;19.2
RN7SL216P;#N/A;19.2
RN7SL217P;#N/A;19.2
RN7SL218P;#N/A;19.2
RN7SL219P;#N/A;19.2
RN7SL220P;#N/A;19.2
RN7SL221P;#N/A;19.2
RN7SL222P;#N/A;19.2
RN7SL223P;#N/A;19.2
RN7SL225P;#N/A;19.2
RN7SL228P;#N/A;19.2
RN7SL229P;#N/A;19.2
RN7SL22P;#N/A;16
RN7SL230P;#N/A;18
RN7SL231P;#N/A;19.2
RN7SL233P;#N/A;19.2
RN7SL234P;#N/A;19.2
RN7SL236P;#N/A;19.1
RN7SL237P;#N/A;18
RN7SL238P;#N/A;17
RN7SL239P;#N/A;16
RN7SL23P;#N/A;16
RN7SL240P;#N/A;19.1
RN7SL241P;#N/A;18
RN7SL242P;#N/A;19.2
RN7SL244P;#N/A;19.2
RN7SL246P;#N/A;19.1
RN7SL248P;#N/A;19.1
RN7SL250P;#N/A;19.2
RN7SL251P;#N/A;19.2
RN7SL252P;#N/A;19.2
RN7SL253P;#N/A;19.2
RN7SL254P;#N/A;19.2
RN7SL255P;#N/A;19.2
RN7SL258P;#N/A;18
RN7SL259P;#N/A;19.2
RN7SL25P;#N/A;19.2
RN7SL260P;#N/A;19.1
RN7SL261P;#N/A;19.1
RN7SL262P;#N/A;19.2
RN7SL263P;#N/A;19.2
RN7SL265P;#N/A;19.2
RN7SL266P;#N/A;19.2
RN7SL267P;#N/A;19.2
RN7SL268P;#N/A;17
RN7SL269P;#N/A;19.2
RN7SL26P;#N/A;19.2
RN7SL270P;#N/A;19.1
RN7SL271P;#N/A;19.2
RN7SL272P;#N/A;19.1
RN7SL273P;#N/A;19.2
RN7SL274P;#N/A;19.2
RN7SL275P;#N/A;19.2
RN7SL277P;#N/A;18
RN7SL278P;#N/A;18
RN7SL279P;#N/A;19.2
RN7SL280P;#N/A;19.2
RN7SL282P;#N/A;18
RN7SL283P;#N/A;18
RN7SL284P;#N/A;19.2
RN7SL285P;#N/A;19.2
RN7SL286P;#N/A;17
RN7SL288P;#N/A;19.2
RN7SL28P;#N/A;19.1
RN7SL290P;#N/A;19.2
RN7SL291P;#N/A;19.2
RN7SL292P;#N/A;19.2
RN7SL293P;#N/A;18
RN7SL294P;#N/A;19.2
RN7SL296P;#N/A;19.1
RN7SL297P;#N/A;18
RN7SL299P;#N/A;19.2
RN7SL3;#N/A;17
RN7SL300P;#N/A;19.2
RN7SL301P;#N/A;17
RN7SL302P;#N/A;19.2
RN7SL303P;#N/A;19.2
RN7SL304P;#N/A;19.2
RN7SL305P;#N/A;19.2
RN7SL306P;#N/A;19.2
RN7SL307P;#N/A;19.2
RN7SL308P;#N/A;19.2
RN7SL309P;#N/A;19.2
RN7SL30P;#N/A;19.2
RN7SL310P;#N/A;19.2
RN7SL311P;#N/A;19.2
RN7SL313P;#N/A;19.1
RN7SL314P;#N/A;19.2
RN7SL316P;#N/A;19.2
RN7SL317P;#N/A;18
RN7SL318P;#N/A;19.2
RN7SL319P;#N/A;18
RN7SL320P;#N/A;19.2
RN7SL321P;#N/A;19.1
RN7SL322P;#N/A;19.2
RN7SL323P;#N/A;19.2
RN7SL325P;#N/A;19.2
RN7SL326P;#N/A;18
RN7SL327P;#N/A;17
RN7SL328P;#N/A;19.2
RN7SL329P;#N/A;19.2
RN7SL330P;#N/A;19.2
RN7SL331P;#N/A;17
RN7SL332P;#N/A;19.2
RN7SL333P;#N/A;19.2
RN7SL334P;#N/A;19.2
RN7SL335P;#N/A;19.2
RN7SL336P;#N/A;19.2
RN7SL337P;#N/A;19.1
RN7SL338P;#N/A;19.2
RN7SL339P;#N/A;19.2
RN7SL33P;#N/A;18
RN7SL340P;#N/A;18
RN7SL341P;#N/A;19.1
RN7SL342P;#N/A;19.2
RN7SL343P;#N/A;18
RN7SL344P;#N/A;19.2
RN7SL346P;#N/A;19.2
RN7SL34P;#N/A;18
RN7SL350P;#N/A;19.2
RN7SL351P;#N/A;19.2
RN7SL352P;#N/A;16
RN7SL353P;#N/A;19.2
RN7SL354P;#N/A;19.2
RN7SL356P;#N/A;19.2
RN7SL357P;#N/A;18
RN7SL359P;#N/A;18
RN7SL35P;#N/A;19.1
RN7SL361P;#N/A;19.2
RN7SL362P;#N/A;19.2
RN7SL363P;#N/A;19.2
RN7SL364P;#N/A;19.1
RN7SL366P;#N/A;19.1
RN7SL368P;#N/A;19.2
RN7SL369P;#N/A;19.2
RN7SL36P;#N/A;19.2
RN7SL370P;#N/A;15.1
RN7SL372P;#N/A;19.1
RN7SL375P;#N/A;19.1
RN7SL376P;#N/A;19.2
RN7SL377P;#N/A;19.2
RN7SL378P;#N/A;16
RN7SL379P;#N/A;16
RN7SL37P;#N/A;18
RN7SL380P;#N/A;19.1
RN7SL381P;#N/A;19.2
RN7SL382P;#N/A;19.2
RN7SL383P;#N/A;18
RN7SL384P;#N/A;19.2
RN7SL385P;#N/A;19.2
RN7SL386P;#N/A;17
RN7SL387P;#N/A;19.2
RN7SL388P;#N/A;19.2
RN7SL38P;#N/A;19.2
RN7SL390P;#N/A;19.2
RN7SL391P;#N/A;19.2
RN7SL392P;#N/A;19.2
RN7SL393P;#N/A;19.2
RN7SL394P;#N/A;19.2
RN7SL395P;#N/A;19.2
RN7SL396P;#N/A;19.2
RN7SL397P;#N/A;19.2
RN7SL398P;#N/A;19.2
RN7SL399P;#N/A;19.2
RN7SL39P;#N/A;19.1
RN7SL400P;#N/A;16
RN7SL401P;#N/A;19.2
RN7SL402P;#N/A;16
RN7SL403P;#N/A;19.2
RN7SL404P;#N/A;19.2
RN7SL405P;#N/A;18
RN7SL408P;#N/A;19.2
RN7SL40P;#N/A;19.2
RN7SL411P;#N/A;19.1
RN7SL413P;#N/A;19.2
RN7SL414P;#N/A;19.2
RN7SL415P;#N/A;19.2
RN7SL416P;#N/A;19.2
RN7SL417P;#N/A;17
RN7SL418P;#N/A;18
RN7SL419P;#N/A;19.2
RN7SL41P;#N/A;16
RN7SL420P;#N/A;19.2
RN7SL422P;#N/A;18
RN7SL423P;#N/A;19.2
RN7SL424P;#N/A;19.2
RN7SL426P;#N/A;19.2
RN7SL428P;#N/A;17
RN7SL429P;#N/A;17
RN7SL42P;#N/A;19.2
RN7SL430P;#N/A;19.2
RN7SL431P;#N/A;16
RN7SL432P;#N/A;19.2
RN7SL434P;#N/A;19.2
RN7SL435P;#N/A;19.2
RN7SL43P;#N/A;19.1
RN7SL440P;#N/A;19.2
RN7SL441P;#N/A;19.1
RN7SL442P;#N/A;19.2
RN7SL443P;#N/A;19.2
RN7SL444P;#N/A;19.1
RN7SL445P;#N/A;19.2
RN7SL446P;#N/A;19.2
RN7SL447P;#N/A;18
RN7SL448P;#N/A;19.2
RN7SL449P;#N/A;19.2
RN7SL44P;#N/A;18
RN7SL451P;#N/A;19.2
RN7SL452P;#N/A;19.2
RN7SL453P;#N/A;19.1
RN7SL454P;#N/A;19.2
RN7SL455P;#N/A;19.1
RN7SL456P;#N/A;19.2
RN7SL457P;#N/A;18
RN7SL459P;#N/A;19.2
RN7SL45P;#N/A;19.2
RN7SL460P;#N/A;19.2
RN7SL461P;#N/A;19.2
RN7SL462P;#N/A;18
RN7SL464P;#N/A;19.2
RN7SL465P;#N/A;19.2
RN7SL466P;#N/A;19.2
RN7SL468P;#N/A;19.2
RN7SL469P;#N/A;17
RN7SL470P;#N/A;19.2
RN7SL471P;#N/A;12
RN7SL472P;#N/A;18
RN7SL473P;#N/A;19.1
RN7SL474P;#N/A;19.2
RN7SL475P;#N/A;19.2
RN7SL477P;#N/A;19.2
RN7SL478P;#N/A;19.1
RN7SL479P;#N/A;19.2
RN7SL47P;#N/A;18
RN7SL480P;#N/A;19.2
RN7SL481P;#N/A;19.2
RN7SL482P;#N/A;19.1
RN7SL483P;#N/A;18
RN7SL484P;#N/A;18
RN7SL487P;#N/A;18
RN7SL488P;#N/A;19.2
RN7SL489P;#N/A;17
RN7SL48P;#N/A;19.2
RN7SL491P;#N/A;19.2
RN7SL492P;#N/A;19.2
RN7SL493P;#N/A;18
RN7SL494P;#N/A;19.1
RN7SL495P;#N/A;17
RN7SL496P;#N/A;18
RN7SL497P;#N/A;19.2
RN7SL498P;#N/A;19.2
RN7SL499P;#N/A;16
RN7SL49P;#N/A;19.2
RN7SL4P;#N/A;17
RN7SL502P;#N/A;19.2
RN7SL503P;#N/A;19.1
RN7SL504P;#N/A;19.2
RN7SL505P;#N/A;19.2
RN7SL507P;#N/A;19.2
RN7SL508P;#N/A;19.2
RN7SL509P;#N/A;19.2
RN7SL50P;#N/A;19.2
RN7SL510P;#N/A;19.2
RN7SL513P;#N/A;19.2
RN7SL515P;#N/A;19.1
RN7SL516P;#N/A;19.2
RN7SL517P;#N/A;19.2
RN7SL518P;#N/A;19.2
RN7SL519P;#N/A;19.2
RN7SL51P;#N/A;19.1
RN7SL520P;#N/A;19.1
RN7SL521P;#N/A;19.1
RN7SL523P;#N/A;19.2
RN7SL524P;#N/A;19.2
RN7SL525P;#N/A;19.2
RN7SL526P;#N/A;18
RN7SL52P;#N/A;19.2
RN7SL530P;#N/A;19.2
RN7SL531P;#N/A;19.1
RN7SL535P;#N/A;16
RN7SL536P;#N/A;17
RN7SL538P;#N/A;16
RN7SL539P;#N/A;17
RN7SL541P;#N/A;19.2
RN7SL542P;#N/A;18
RN7SL543P;#N/A;19.2
RN7SL544P;#N/A;19.1
RN7SL545P;#N/A;17
RN7SL546P;#N/A;19.2
RN7SL547P;#N/A;19.2
RN7SL549P;#N/A;19.2
RN7SL551P;#N/A;19.2
RN7SL552P;#N/A;19.1
RN7SL553P;#N/A;19.2
RN7SL554P;#N/A;19.2
RN7SL555P;#N/A;19.2
RN7SL556P;#N/A;19.1
RN7SL557P;#N/A;19.2
RN7SL558P;#N/A;19.1
RN7SL559P;#N/A;19.2
RN7SL55P;#N/A;19.2
RN7SL560P;#N/A;19.2
RN7SL561P;#N/A;19.1
RN7SL563P;#N/A;16
RN7SL564P;#N/A;19.2
RN7SL565P;#N/A;19.1
RN7SL566P;#N/A;18
RN7SL567P;#N/A;19.2
RN7SL568P;#N/A;19.2
RN7SL569P;#N/A;19.2
RN7SL570P;#N/A;19.2
RN7SL571P;#N/A;18
RN7SL573P;#N/A;19.1
RN7SL574P;#N/A;19.1
RN7SL575P;#N/A;19.2
RN7SL577P;#N/A;19.2
RN7SL578P;#N/A;19.2
RN7SL57P;#N/A;19.2
RN7SL580P;#N/A;19.2
RN7SL581P;#N/A;19.2
RN7SL582P;#N/A;19.2
RN7SL583P;#N/A;19.2
RN7SL584P;#N/A;16
RN7SL585P;#N/A;19.2
RN7SL586P;#N/A;19.2
RN7SL587P;#N/A;19.2
RN7SL589P;#N/A;19.2
RN7SL58P;#N/A;19.2
RN7SL591P;#N/A;19.2
RN7SL592P;#N/A;19.1
RN7SL594P;#N/A;16
RN7SL596P;#N/A;19.2
RN7SL597P;#N/A;18
RN7SL598P;#N/A;19.2
RN7SL5P;#N/A;19.2
RN7SL600P;#N/A;19.1
RN7SL601P;#N/A;18
RN7SL604P;#N/A;19.2
RN7SL605P;#N/A;18
RN7SL606P;#N/A;19.2
RN7SL607P;#N/A;19.1
RN7SL608P;#N/A;19.2
RN7SL60P;#N/A;19.1
RN7SL610P;#N/A;19.2
RN7SL612P;#N/A;18
RN7SL614P;#N/A;19.2
RN7SL615P;#N/A;18
RN7SL616P;#N/A;19.2
RN7SL617P;#N/A;19.2
RN7SL618P;#N/A;15.1
RN7SL619P;#N/A;19.2
RN7SL620P;#N/A;19.2
RN7SL621P;#N/A;19.2
RN7SL622P;#N/A;19.2
RN7SL623P;#N/A;19.2
RN7SL624P;#N/A;19.2
RN7SL625P;#N/A;19.1
RN7SL627P;#N/A;19.2
RN7SL628P;#N/A;17
RN7SL629P;#N/A;19.1
RN7SL62P;#N/A;19.2
RN7SL630P;#N/A;19.2
RN7SL632P;#N/A;19.2
RN7SL633P;#N/A;16
RN7SL634P;#N/A;16
RN7SL635P;#N/A;19.1
RN7SL636P;#N/A;19.2
RN7SL638P;#N/A;19.1
RN7SL63P;#N/A;19.1
RN7SL640P;#N/A;18
RN7SL643P;#N/A;19.2
RN7SL644P;#N/A;19.2
RN7SL645P;#N/A;19.2
RN7SL646P;#N/A;19.2
RN7SL647P;#N/A;19.2
RN7SL648P;#N/A;19.2
RN7SL649P;#N/A;19.2
RN7SL650P;#N/A;19.1
RN7SL652P;#N/A;19.2
RN7SL653P;#N/A;19.1
RN7SL654P;#N/A;19.2
RN7SL655P;#N/A;19.2
RN7SL656P;#N/A;19.2
RN7SL657P;#N/A;19.2
RN7SL658P;#N/A;19.2
RN7SL659P;#N/A;18
RN7SL65P;#N/A;19.2
RN7SL660P;#N/A;19.1
RN7SL663P;#N/A;18
RN7SL664P;#N/A;19.2
RN7SL665P;#N/A;19.2
RN7SL666P;#N/A;16
RN7SL667P;#N/A;19.1
RN7SL668P;#N/A;19.2
RN7SL66P;#N/A;19.2
RN7SL670P;#N/A;19.1
RN7SL672P;#N/A;19.2
RN7SL673P;#N/A;17
RN7SL674P;#N/A;18
RN7SL675P;#N/A;19.2
RN7SL677P;#N/A;19.2
RN7SL678P;#N/A;19.2
RN7SL679P;#N/A;19.2
RN7SL67P;#N/A;19.2
RN7SL680P;#N/A;18
RN7SL681P;#N/A;19.2
RN7SL683P;#N/A;19.2
RN7SL684P;#N/A;19.2
RN7SL685P;#N/A;19.2
RN7SL687P;#N/A;19.2
RN7SL688P;#N/A;19.2
RN7SL689P;#N/A;19.2
RN7SL68P;#N/A;19.2
RN7SL690P;#N/A;19.2
RN7SL691P;#N/A;19.2
RN7SL692P;#N/A;19.2
RN7SL693P;#N/A;19.2
RN7SL697P;#N/A;19.1
RN7SL698P;#N/A;16
RN7SL69P;#N/A;19.2
RN7SL700P;#N/A;19.2
RN7SL702P;#N/A;19.2
RN7SL703P;#N/A;18
RN7SL704P;#N/A;18
RN7SL705P;#N/A;18
RN7SL706P;#N/A;19.1
RN7SL708P;#N/A;16
RN7SL709P;#N/A;19.2
RN7SL70P;#N/A;19.2
RN7SL711P;#N/A;19.1
RN7SL712P;#N/A;19.2
RN7SL713P;#N/A;18
RN7SL714P;#N/A;19.1
RN7SL715P;#N/A;19.2
RN7SL716P;#N/A;19.2
RN7SL717P;#N/A;19.2
RN7SL718P;#N/A;19.2
RN7SL719P;#N/A;17
RN7SL720P;#N/A;19.2
RN7SL722P;#N/A;19.1
RN7SL724P;#N/A;19.2
RN7SL725P;#N/A;17
RN7SL726P;#N/A;19.2
RN7SL727P;#N/A;19.2
RN7SL728P;#N/A;16
RN7SL72P;#N/A;19.2
RN7SL731P;#N/A;16
RN7SL732P;#N/A;19.2
RN7SL733P;#N/A;19.1
RN7SL734P;#N/A;19.2
RN7SL735P;#N/A;18
RN7SL736P;#N/A;17
RN7SL737P;#N/A;18
RN7SL738P;#N/A;19.2
RN7SL73P;#N/A;18
RN7SL740P;#N/A;19.1
RN7SL741P;#N/A;19.2
RN7SL743P;#N/A;18
RN7SL744P;#N/A;19.2
RN7SL745P;#N/A;16
RN7SL748P;#N/A;19.1
RN7SL749P;#N/A;19.2
RN7SL74P;#N/A;19.2
RN7SL750P;#N/A;19.2
RN7SL751P;#N/A;19.2
RN7SL752P;#N/A;19.1
RN7SL753P;#N/A;19.2
RN7SL754P;#N/A;19.2
RN7SL756P;#N/A;19.2
RN7SL757P;#N/A;19.2
RN7SL759P;#N/A;17
RN7SL75P;#N/A;16
RN7SL760P;#N/A;19.2
RN7SL761P;#N/A;19.2
RN7SL762P;#N/A;19.2
RN7SL763P;#N/A;19.1
RN7SL764P;#N/A;19.1
RN7SL766P;#N/A;19.2
RN7SL767P;#N/A;17
RN7SL769P;#N/A;19.1
RN7SL76P;#N/A;19.2
RN7SL771P;#N/A;19.1
RN7SL774P;#N/A;19.2
RN7SL775P;#N/A;18
RN7SL776P;#N/A;19.1
RN7SL778P;#N/A;19.2
RN7SL77P;#N/A;19.2
RN7SL782P;#N/A;19.2
RN7SL783P;#N/A;19.2
RN7SL784P;#N/A;19.2
RN7SL785P;#N/A;19.2
RN7SL786P;#N/A;19.2
RN7SL787P;#N/A;19.1
RN7SL788P;#N/A;19.2
RN7SL789P;#N/A;18
RN7SL78P;#N/A;19.2
RN7SL790P;#N/A;19.1
RN7SL791P;#N/A;19.2
RN7SL792P;#N/A;19.2
RN7SL793P;#N/A;19.2
RN7SL794P;#N/A;19.2
RN7SL795P;#N/A;19.2
RN7SL796P;#N/A;17
RN7SL797P;#N/A;19.2
RN7SL798P;#N/A;19.2
RN7SL799P;#N/A;18
RN7SL79P;#N/A;19.2
RN7SL7P;#N/A;18
RN7SL800P;#N/A;19.2
RN7SL801P;#N/A;19.2
RN7SL802P;#N/A;19.1
RN7SL803P;#N/A;19.2
RN7SL804P;#N/A;19.2
RN7SL806P;#N/A;18
RN7SL807P;#N/A;19.2
RN7SL808P;#N/A;19.2
RN7SL809P;#N/A;19.2
RN7SL810P;#N/A;19.2
RN7SL811P;#N/A;19.2
RN7SL812P;#N/A;19.2
RN7SL813P;#N/A;18
RN7SL814P;#N/A;16
RN7SL815P;#N/A;19.2
RN7SL817P;#N/A;19.2
RN7SL818P;#N/A;17
RN7SL819P;#N/A;19.2
RN7SL81P;#N/A;18
RN7SL820P;#N/A;19.1
RN7SL822P;#N/A;19.2
RN7SL823P;#N/A;19.1
RN7SL824P;#N/A;19.2
RN7SL825P;#N/A;19.2
RN7SL826P;#N/A;19.2
RN7SL827P;#N/A;19.2
RN7SL828P;#N/A;19.2
RN7SL82P;#N/A;17
RN7SL831P;#N/A;19.2
RN7SL832P;#N/A;12
RN7SL833P;#N/A;19.2
RN7SL834P;#N/A;19.2
RN7SL835P;#N/A;19.2
RN7SL836P;#N/A;17
RN7SL837P;#N/A;19.2
RN7SL838P;#N/A;17
RN7SL83P;#N/A;18
RN7SL840P;#N/A;19.1
RN7SL841P;#N/A;19.2
RN7SL842P;#N/A;19.1
RN7SL843P;#N/A;19.1
RN7SL845P;#N/A;19.2
RN7SL846P;#N/A;19.1
RN7SL847P;#N/A;19.2
RN7SL849P;#N/A;19.2
RN7SL850P;#N/A;19.2
RN7SL851P;#N/A;19.2
RN7SL853P;#N/A;17
RN7SL854P;#N/A;19.2
RN7SL856P;#N/A;19.1
RN7SL860P;#N/A;18
RN7SL861P;#N/A;19.2
RN7SL862P;#N/A;16
RN7SL863P;#N/A;19.2
RN7SL864P;#N/A;19.2
RN7SL865P;#N/A;19.2
RN7SL868P;#N/A;16
RN7SL869P;#N/A;19.2
RN7SL870P;#N/A;19.2
RN7SL87P;#N/A;19.2
RN7SL88P;#N/A;19.1
RN7SL89P;#N/A;19.2
RN7SL8P;#N/A;18
RN7SL91P;#N/A;16
RN7SL93P;#N/A;16
RN7SL96P;#N/A;19.2
RN7SL97P;#N/A;19.2
RN7SL98P;#N/A;19.2
RNA5-8S5;#N/A;12
RNA5-8SN3;#N/A;12
RNA5-8SN4;#N/A;12
RNA5-8SP2;#N/A;11
RNA5-8SP4;#N/A;11
RNA5-8SP5;#N/A;11
RNA5-8SP6;#N/A;11
RNA5-8SP7;#N/A;11
RNA5S1;#N/A;15.1
RNA5S10;#N/A;16
RNA5S11;#N/A;15.1
RNA5S12;#N/A;16
RNA5S13;#N/A;15.2
RNA5S14;#N/A;15.1
RNA5S15;#N/A;17
RNA5S16;#N/A;15.1
RNA5S17;#N/A;15.1
RNA5S2;#N/A;15.2
